street,lon,lat
"Haburská, Bratislava",NA,NA
"Martákovej, Bratislava",17.1709034,48.1508181
"Kadnárova, Bratislava",17.1431757,48.2007051
"Šancová, Bratislava",NA,NA
"Údernícka, Bratislava",NA,NA
"Rustaveliho, Bratislava",NA,NA
"Krajinská, Bratislava",NA,NA
"Doležalova, Bratislava",17.1616673,48.1700083
"Tomášikova, Bratislava",NA,NA
"Drieňová, Bratislava",17.1548693,48.16018709999999
"Bajkalská, Bratislava",NA,NA
"Seberíniho, Bratislava",17.1681201,48.1535576
"Mýtna, Bratislava",17.1167165,48.1551616
"Tupého, Bratislava",17.1170049,48.16543470000001
"Šustekova, Bratislava",NA,NA
"Hrachová, Bratislava",NA,NA
"Píniová, Bratislava",17.2115211,48.1498328
"Mierová, Bratislava",NA,NA
"Na Piesku, Bratislava",NA,NA
"Račianska, Bratislava",17.1291084,48.1806992
"Martina Granca, Bratislava",17.0269669,48.1971466
"Ružinov (Bratislava II), Bratislava",NA,NA
"Jasovská, Bratislava",17.1151941,48.0946547
"Devínska Nová Ves (Bratislava IV), Bratislava",16.9727781,48.2094434
"Odborárska, Bratislava",NA,NA
"Bodrocká, Bratislava",17.2094184,48.13362859999999
"Osuského, Bratislava",17.1146422,48.1187528
"Kapsohradská, Bratislava",NA,NA
"Chvojnícka, Bratislava",NA,NA
"Čerencová, Bratislava",NA,NA
"Rajecká, Bratislava",17.2056141,48.1435974
"Dobrovského, Bratislava",NA,NA
"Pod Vachmajstrom, Bratislava",17.1105,48.1663107
"Robotnícka, Bratislava",17.129112,48.1616898
"Mariánska, Bratislava",17.1149896,48.1480144
"Nám. SNP, Bratislava",17.1111114,48.1453107
"Nerudova, Bratislava",17.1660647,48.1667097
"Saratovská, Bratislava",17.0347437,48.1931033
"Nevädzová, Bratislava",17.1593323,48.15244389999999
"Gallayova, Bratislava",17.0320635,48.1930354
"Kukučínova, Bratislava",NA,NA
"Záhradnícka, Bratislava",NA,NA
"Turbínová, Bratislava",17.1544367,48.1749155
"Brezova, Bratislava",17.1948575,48.1471368
"Toryská, Bratislava",17.2091192,48.1366436
"Papraďová, Bratislava",17.1620024,48.1544991
"Paulínyho, Bratislava",17.1076925,48.1409483
"Heydukova, Bratislava",17.1133193,48.1476319
"Dlhé diely III., Bratislava",17.0375445,48.152084
"Kazanská, Bratislava",17.2055048,48.1343045
"Ipeľská, Bratislava",17.2119168,48.1359576
"Riazanská, Bratislava",17.1336421,48.17173589999999
"Záhorská Bystrica (Bratislava IV), Bratislava",17.0387275,48.241632
"Beňovského, Bratislava",17.0477932,48.1824146
"Opletalova, Bratislava",16.9780752,48.2225399
"Na varte, Bratislava",NA,NA
"Andreja Mráza, Bratislava",17.1690451,48.1551372
"Čunovo (Bratislava V), Bratislava",NA,NA
"Jamnického, Bratislava",17.0463958,48.1501885
"Vývojová, Bratislava",NA,NA
"Palkovičova, Bratislava",17.1375164,48.1575988
"Žilinská, Bratislava",17.1121466,48.1552672
"Ondavská, Bratislava",17.1401415,48.1596539
"Mozartova, Bratislava",17.0867258,48.1527801
"Pionierska, Bratislava",17.120037,48.1644936
"Nezábudková, Bratislava",17.1524564,48.1510314
"Lotyšská, Bratislava",17.2026909,48.138329
"Budatinská, Bratislava",17.1004733,48.1061225
"M. Schneidera - Trnavského, Bratislava",17.045259,48.17809039999999
"Pluhová, Bratislava",17.1358439,48.1742548
"Chlumeckého, Bratislava",NA,NA
"Korytnická, Bratislava",NA,NA
"Vŕbová, Bratislava",NA,NA
"Štetinová, Bratislava",NA,NA
"Teplická, Bratislava",NA,NA
"Československých parašutistov, Bratislava",17.1302565,48.1714887
"Staré záhrady, Bratislava",17.1648213,48.1481003
"Šalviová, Bratislava",17.1606214,48.1529612
"Lackova, Bratislava",17.0492266,48.1592091
"Planét, Bratislava",17.1710203,48.1632085
"Herlianska, Bratislava",17.156265,48.1589484
"Sklenárova, Bratislava",17.1458105,48.1503237
"Kuklovská, Bratislava",NA,NA
"Pajštúnska, Bratislava",NA,NA
"Vlčie hrdlo, Bratislava",NA,NA
"Podunajská, Bratislava",NA,NA
"Špitálska, Bratislava",NA,NA
"Medená, Bratislava",NA,NA
"Štefana Králika, Bratislava",16.9837268,48.2044904
"Bujnákova, Bratislava",17.0398108,48.1794369
"Babuškova, Bratislava",NA,NA
"Prešovská, Bratislava",17.1423973,48.1595681
"Bílikova, Bratislava",NA,NA
"Rezedová, Bratislava",NA,NA
"Hlaváčikova, Bratislava",17.0435326,48.15437
"Piešťanská, Bratislava",NA,NA
"Ružová dolina, Bratislava",17.1415845,48.1515682
"Tilgnerova, Bratislava",NA,NA
"Polianky, Bratislava",NA,NA
"Ľudovíta Fullu, Bratislava",NA,NA
"Vlčie Hrdlo, Bratislava",17.163238,48.1186741
"Topoľčianska, Bratislava",17.1094666,48.1086109
"Vrakuňa (Bratislava II), Bratislava",17.2129005,48.1421639
"Guothova, Bratislava",NA,NA
"Raketová, Bratislava",NA,NA
"Staré Grunty, Bratislava",NA,NA
"Zadunajská cesta, Bratislava",17.1016426,48.1299842
"Zálužická, Bratislava",NA,NA
"Sekurisova, Bratislava",17.0384479,48.191666
"Sládkovičova, Bratislava",NA,NA
"Námestie Biely Kríž, Bratislava",NA,NA
"Studená, Bratislava",NA,NA
"Fazuľová, Bratislava",17.1171754,48.1533205
"Budatínska, Bratislava",17.1004733,48.1061225
"Košická, Bratislava",17.1326777,48.1467178
"Ďurgalova, Bratislava",NA,NA
"Ľ.Fullu, Bratislava",17.0497019,48.1551054
"Vajnorská, Bratislava",17.1446845,48.1747512
"Andrusova, Bratislava",NA,NA
"Boženy Němcovej, Bratislava",17.1020362,48.1552022
"Hrušovská, Bratislava",17.1854486,48.149289
"Na Zlatej nohe, Bratislava",17.1153764,48.1656758
"Drotárska cesta, Bratislava",17.0829511,48.155947
"Búdková, Bratislava",17.0885398,48.1560092
"Nové Mesto (Bratislava III), Bratislava",NA,NA
"Jungmannova, Bratislava",17.1144008,48.1249798
"Kmeťovo námestie, Bratislava",17.1206743,48.1552808
"Pri Kríži, Bratislava",17.0302053,48.1946694
"Exnárova, Bratislava",17.1733547,48.1572156
"Obchodná, Bratislava",17.110388,48.14752240000001
"Kovácsova, Bratislava",17.1449079,48.0524123
"Krížna, Bratislava",17.1243342,48.1552594
"Lietavská, Bratislava",17.1049458,48.1002958
"Slovinská, Bratislava",17.1606869,48.1694835
"Na úvrati, Bratislava",NA,NA
"Hornádska, Bratislava",17.2142475,48.136103
"Murgašova, Bratislava",17.109696,48.1565358
"Hroznová, Bratislava",17.0968375,48.1636327
"Staromestská, Bratislava",17.1039111,48.1439302
"Mateja Bela, Bratislava",17.104846,48.1495854
"Karlova Ves (Bratislava IV), Bratislava",17.0518442,48.1591643
"Staré Mesto (Bratislava I), Bratislava",17.1077474,48.148598
"Šándorova, Bratislava",17.1747257,48.1553815
"Námestie Hraničiarov, Bratislava",17.1166657,48.1217966
"Komárnická, Bratislava",NA,NA
"Miletičova, Bratislava",17.1365022,48.1529147
"Mlynarovičová, Bratislava",17.121358,48.12665819999999
"Bystrická, Bratislava",NA,NA
"Pri strelnici, Bratislava",NA,NA
"Dopravná, Bratislava",17.1662745,48.199887
"Trenčianska, Bratislava",17.1397444,48.1517452
"Petržalka (Bratislava V), Bratislava",17.1115426,48.11087000000001
"Vtáčnik, Bratislava",17.1163072,48.1680102
"Lamač (Bratislava IV), Bratislava",17.0474565,48.1938879
"Bartoškova, Bratislava",17.1321583,48.1611404
"Dlhá, Bratislava",17.1967037,48.0329609
"Pečnianska, Bratislava",17.0944704,48.12928180000001
"Hronská, Bratislava",17.2105548,48.1341737
"Šípová, Bratislava",17.2057875,48.1503464
"Židovská, Bratislava",17.1038268,48.1433715
"Hradská, Bratislava",NA,NA
"Nákovná, Bratislava",NA,NA
"Pribišova, Bratislava",17.0482552,48.1532037
"Pri Hrubej lúke, Bratislava",17.0349999,48.19834160000001
"Ulica . augusta 2/A, Bratislava",17.1158024,48.14958009999999
"Rovniankova, Bratislava",NA,NA
"Sputniková, Bratislava",NA,NA
"Hrobákova, Bratislava",NA,NA
"Pri Vápenickom potoku, Bratislava",17.0414574,48.2315999
"Strmý vŕšok, Bratislava",NA,NA
"Ota Holúska, Bratislava",17.0422807,48.2332221
"Fedinova, Bratislava",17.1028701,48.1174269
"Dunajská, Bratislava",NA,NA
"Markova, Bratislava",NA,NA
"Bagarova, Bratislava",NA,NA
"Dúbravka (Bratislava IV), Bratislava",17.0290285,48.1888276
"Rača (Bratislava III), Bratislava",NA,NA
"Podunajské Biskupice (Bratislava II), Bratislava",NA,NA
"Jarovce (Bratislava V), Bratislava",NA,NA
"Pri kríži, Bratislava",NA,NA
"Ivanská cesta, Bratislava",17.1852175,48.1704896
"Bratislavská, Bratislava",NA,NA
"Majerníkova, Bratislava",NA,NA
"Račianská, Bratislava",17.1291084,48.1806992
"Vrútocka, Bratislava",NA,NA
"Radlinského, Bratislava",NA,NA
"Záhrebská, Bratislava",17.1161646,48.1562231
"Šintavská, Bratislava",NA,NA
"Zuzany Chalupovej, Bratislava",17.1196132,48.0926903
"Tallerova, Bratislava",17.1139725,48.14204789999999
"Galvaniho, Bratislava",NA,NA
"Kozia, Bratislava",NA,NA
"Svätovavrinecká, Bratislava",17.1181878,48.1678019
"Veternicová, Bratislava",NA,NA
"Závodná, Bratislava",NA,NA
"Gregorovej, Bratislava",NA,NA
"Rusovská cesta, Bratislava",17.1028823,48.1240715
"Svetlá, Bratislava",17.0859376,48.1510419
"Legionárska, Bratislava",17.1226226,48.1565463
"Kominárska, Bratislava",17.123249,48.1597122
"Na Revíne, Bratislava",NA,NA
"Vihorlatská, Bratislava",17.1590859,48.1742208
"Jána Smreka, Bratislava",NA,NA
"Meteorová, Bratislava",17.1642888,48.16417970000001
"Kysucká, Bratislava",NA,NA
"Žižkova, Bratislava",17.090188,48.1423211
"Ambroseho, Bratislava",17.1148265,48.1160378
"Moskovská, Bratislava",17.1222717,48.150574
"vvv, Bratislava",17.1077478,48.1485965
"Sabinovská, Bratislava",17.1489037,48.1600513
"Nejedlého, Bratislava",17.0365656,48.1929101
"Stará Vajnorská, Bratislava",17.1748398,48.1877752
"Nová Bellova, Bratislava",17.1077478,48.1485965
"Zámocká, Bratislava",17.1018366,48.1447091
"Čsl. parašutistov, Bratislava",17.1306245,48.1710412
"Panónska cesta, Bratislava",17.0984998,48.111264
"Tichá, Bratislava",17.083378,48.15085209999999
"Martinengova, Bratislava",17.0787203,48.1591256
"Krajná, Bratislava",17.1734444,48.1786217
"Anenská, Bratislava",17.1156337,48.155066
"Ševčenkova, Bratislava",17.1034175,48.1195047
"Jašíkova, Bratislava",17.1669648,48.1555678
"Lazaretská, Bratislava",17.1199992,48.1455383
"Sibírska, Bratislava",17.1226043,48.1641704
"Ulica Martina Granca, Bratislava",17.0269669,48.1971466
"..., Bratislava",17.1077478,48.1485965
"Švantnerova, Bratislava",17.0367275,48.1812591
"Bazovského, Bratislava",17.0413202,48.1833435
"Budyšínska, Bratislava",17.1287131,48.1631108
"Dvořakovo nábrežie, Bratislava",17.0895271,48.1412027
"Albína Brunovského, Bratislava",17.0505376,48.1486689
"Podkolibská, Bratislava",17.1153831,48.1625951
"Belinského, Bratislava",17.1034571,48.1219765
"Plynárenská, Bratislava",17.1419905,48.1447841
"Slatinská, Bratislava",17.2143108,48.1405988
"Trnavská cesta, Bratislava",17.1465239,48.1636363
"Karola Adlera, Bratislava",17.0314381,48.1904755
"Ľanová, Bratislava",17.1589567,48.1563416
"Tranovského, Bratislava",17.0249999,48.1932318
"Šoltésovej, Bratislava",17.1232537,48.15105579999999
"Bosákova, Bratislava",17.1256837,48.12768029999999
"Pavla Horova, Bratislava",16.9799328,48.2033873
"Nobelova, Bratislava",17.1364561,48.1838284
"Bieloruská, Bratislava",17.1990108,48.1389882
"Vrakunská, Bratislava",17.1994128,48.1371356
"Suché mýto, Bratislava",NA,NA
"Kopčianska, Bratislava",17.0906023,48.11420469999999
"Malokrasňanská, Bratislava",NA,NA
"Furdekova, Bratislava",17.1208933,48.1228183
"Drobného, Bratislava",17.039605,48.19099550000001
"L. Dérera, Bratislava",17.1008826,48.1659737
"Hrdličkova, Bratislava",17.0838054,48.1687406
"Donnerova, Bratislava",17.0555119,48.1578595
"Bučinová, Bratislava",17.2075909,48.1432633
"Bartoňova, Bratislava",17.093864,48.14626380000001
"Brodská, Bratislava",17.0482969,48.1607393
"Rozvodná, Bratislava",NA,NA
"Martinčekova, Bratislava",17.1473938,48.14962269999999
"Milana Marečka, Bratislava",16.9786794,48.2067816
"Červeňákova, Bratislava",17.0422272,48.18458649999999
"Žitavská, Bratislava",NA,NA
"Holíčska, Bratislava",NA,NA
"x, Bratislava",NA,NA
"Bzovícka, Bratislava",NA,NA
"Stavbárska, Bratislava",NA,NA
"Jána Poničana, Bratislava",16.9824314,48.2064513
"Zochova, Bratislava",17.1012408,48.1462148
"Pribinova, Bratislava",NA,NA
"Na pasekách, Bratislava",17.175008,48.198431
"Vilová, Bratislava",17.0968209,48.1241968
"Ľubovníkova, Bratislava",NA,NA
"Landererova, Bratislava",17.1259838,48.1425112
"Bakošova, Bratislava",17.0471313,48.198897
"Smaragdová, Bratislava",NA,NA
"Bernolákova, Bratislava",17.1214436,48.1553903
"Strážna, Bratislava",NA,NA
"Silvánska, Bratislava",NA,NA
"Stromová, Bratislava",17.0963905,48.164729
"Černyševského, Bratislava",NA,NA
"Považanová, Bratislava",17.0369947,48.18389149999999
"Pekná cesta, Bratislava",17.1301157,48.199381
"Čmelíkova, Bratislava",17.176241,48.1574243
"Znievska, Bratislava",17.1047337,48.1025126
"PETRŽALKA CITY, Bratislava",NA,NA
"Karpatská, Bratislava",17.1136709,48.1579603
"Narcisová, Bratislava",17.1613448,48.1552188
"Opavská, Bratislava",17.0838628,48.1663921
"Ferienčíkova, Bratislava",17.1204006,48.1467671
"Beniakova, Bratislava",17.0469512,48.1575101
"Malokarpatské námestie, Bratislava",17.0531676,48.1948495
"Zimná, Bratislava",17.1638301,48.1634144
"Vážska, Bratislava",NA,NA
"Jégého, Bratislava",17.1348342,48.1572261
